,year,a,b
1,1991,5.98E-06,3.16727868
2,1992,7.60E-06,3.089587
3,1993,6.15E-06,3.149164476
4,1994,7.99E-06,3.064037239
5,1995,7.94E-06,3.071689049
6,1996,8.23E-06,3.054983865
7,1997,7.55E-06,3.083103462
8,1998,7.01E-06,3.097141538
9,1999,5.89E-06,3.138442623
10,2000,6.87E-06,3.097605021
11,2001,6.97E-06,3.093908143
12,2002,6.52E-06,3.106049054
13,2003,6.00E-06,3.126823964
14,2004,7.36E-06,3.074112544
15,2005,6.92E-06,3.090653955
16,2006,7.27E-06,3.070589803
17,2007,7.23E-06,3.075773959
18,2008,7.91E-06,3.044736996
19,2009,6.68E-06,3.087767364
20,2010,6.57E-06,3.087267396
21,2011,6.85E-06,3.074369874
22,2012,7.96E-06,3.035243836
23,2013,7.00E-06,3.066199741
24,2014,8.35E-06,3.016133007
25,2015,9.26E-06,2.995348605
26,2016,9.13E-06,2.998811044
27,2017,8.36E-06,3.022868645
28,2018,8.00E-06,3.035213203
